Name,Symbol,Last price,Change
BlackRock,BLK,411.80,-7.10,
Baron Asset Fund Retail Class,BARAX,68.42,-0.68,
Baron Small Cap Fund Retail Class,BSCFX,29.25,-0.26,
Baron Opportunity Fund Retail Class,BIOPX,17.91,-0.27,
Baron Focused Growth Fund Retail Shares,BFGFX,14.82,-0.22,
Baron Real Estate Fund Retail Shares,BREFX,27.32,-0.34,
Baron Emerging Markets Fund Retail Shares,BEXFX,13.15,-0.03,
Baron Energy and Resources Fund Retail Shares,BENFX,7.68,0.05,
Baron Growth Fund Retail Shares,BGRFX,69.45,-0.77,
Baron Partners Fund Retail Shares,BPTRX,47.44,-0.81,
Allianz SE,ALV,172.40,-0.70,
AT&T Inc.,T,37.63,0.01,
BHP Billiton plc,BLT,1176.00,-13.50,
Centurylink Inc,CTL,24.02,-0.16,
ConocoPhillips,COP,43.82,-0.26,
Freeport-McMoRan Inc,FCX,12.06,-0.02,
General Electric Company,GE,26.97,-0.05,
GlaxoSmithKline plc (ADR),GSK,43.09,-0.17,
Halliburton Company,HAL,42.50,0.08,
International Paper Co,IP,56.51,0.83,
Kinder Morgan Inc,KMI,19.02,-0.02,
Metlife Inc,MET,54.93,-0.13,
Orange SA (ADR),ORAN,15.90,-0.13,
Pfizer Inc.,PFE,33.64,0.01,
Prudential Financial Inc,PRU,108.31,-0.07,
Raytheon Company,RTN,160.98,1.35,
Royal Dutch Shell plc (ADR),RDS.A,52.99,-0.19,
Swiss Re AG,SREN,87.65,-0.15,
Telenor ASA (ADR),TELNY,16.47,0.02,
Total SA,TTA,44.78,0.65,
Vanguard High Dividend Yield ETF,VYM,78.18,0.16,
Verizon Communications Inc.,VZ,44.44,0.03,
Wal-Mart Stores Inc,WMT,75.88,-0.05,
Agrium Inc. (USA),AGU,89.93,-0.55,
Valero Energy Corporation,VLO,67.33,0.24,
Energy Transfer Partners LP,ETP,20.37,0.18,
Deere & Company,DE,122.90,0.99,
Citigroup Inc,C-G,25.43,,
"Waste Management, Inc.",WM,73.32,0.30,
