Name,Jun-30,Jul-01,Jul-02,July 3
BlackRock,418.9,418.9,411.8,411.8
Baron Asset Fund Retail Class,68.94,68.38,68.6,68.6
Baron Small Cap Fund Retail Class,29.36,29.08,29.34,29.34
Baron Opportunity Fund Retail Class,18.23,17.92,17.93,17.93
Baron Focused Growth Fund Retail Shares,15.12,14.86,14.84,14.84
Baron Real Estate Fund Retail Shares,27.78,27.54,27.37,27.37
Baron Emerging Markets Fund Retail Shares,13.19,13.14,13.16,13.16
Baron Energy and Resources Fund Retail Shares,7.54,7.52,7.74,7.74
Baron Growth Fund Retail Shares,70.21,69.55,69.57,69.57
Baron Partners Fund Retail Shares,48.4,47.58,47.59,47.59
Allianz SE,174.6,172.9,172.4,173.95
AT&T Inc.,38.15,37.7,37.73,37.73
BHP Billiton plc,1169,1163,1176,1198.5
Centurylink Inc,24.55,24.56,23.88,23.88
ConocoPhillips,44.23,43.97,43.96,43.96
Freeport-McMoRan Inc,11.82,11.72,12.01,12.01
General Electric Company,27.61,27.21,27.01,27.01
GlaxoSmithKline plc (ADR),44.07,43.91,43.12,43.12
Halliburton Company,41.7,41.53,42.71,42.71
International Paper Co,56.73,56.18,56.61,56.61
Kinder Morgan Inc,18.88,18.91,19.16,19.16
Metlife Inc,52.6,52.98,54.94,54.94
Orange SA (ADR),16.07,16.07,15.98,15.98
Pfizer Inc.,34.04,33.77,33.59,33.59
Prudential Financial Inc,103.67,104.6,108.14,108.14
Raytheon Company,162.06,161.16,161.48,161.48
Royal Dutch Shell plc (ADR),52.46,53.27,53.19,53.19
Swiss Re AG,88.9,88.6,87.65,88.6
Telenor ASA (ADR),16.39,16.48,16.5,16.5
Total SA,42.99,42.99,44.78,43.97
Vanguard High Dividend Yield ETF,78.69,78.13,78.16,78.16
Verizon Communications Inc.,45.75,44.84,44.66,44.66
Wal-Mart Stores Inc,75.5,76.01,75.68,75.68
Agrium Inc. (USA),92.68,92.14,90.49,90.49
Valero Energy Corporation,66.04,66.81,67.46,67.46
Energy Transfer Partners LP,19.82,19.61,20.39,20.39
Deere & Company,123.35,122,123.59,123.59
